Summary of all 105 analyzed sorting runs
#,data_type,n,algorithm,comparisons,exchanges,comparison trajectory equation,exchange trajectory equation,time
32,sorted	,500,heap_sort,11424,9567, y = 1.0035 (x) ^ 1.4615 w/ correlation 100.0 %, y = 1.0031 (x) ^ 1.4367 w/ correlation 100.0 %,execution time: 0.014009 s
33,sorted	,1000,heap_sort,25926,21672, y = 1.0035 (x) ^ 1.4615 w/ correlation 100.0 %, y = 1.0031 (x) ^ 1.4367 w/ correlation 100.0 %,execution time: 0.034412 s
34,sorted	,1500,heap_sort,41426,34762, y = 1.0035 (x) ^ 1.4615 w/ correlation 100.0 %, y = 1.0031 (x) ^ 1.4367 w/ correlation 100.0 %,execution time: 0.069916 s
35,sorted	,2000,heap_sort,57700,48151, y = 1.0035 (x) ^ 1.4615 w/ correlation 100.0 %, y = 1.0031 (x) ^ 1.4367 w/ correlation 100.0 %,execution time: 0.047997 s
36,reverse,50,quicksort,625,674, y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %,execution time: 0.002997 s
37,reverse,500,quicksort,62500,62999, y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %,execution time: 0.113002 s
38,reverse,1000,quicksort,250000,250999, y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %,execution time: 0.315991 s
39,reverse,1500,quicksort,562500,563999, y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %,execution time: 0.907118 s
40,reverse,2000,quicksort,1000000,1001999, y = 0.9978 (x) ^ 1.8055 w/ correlation 100.0 %, y = 0.9978 (x) ^ 1.806 w/ correlation 100.0 %,execution time: 0.809881 s
41,reverse,50,quicksort_rand,141,174, y = 1.0042 (x) ^ 1.2384 w/ correlation 100.0 %, y = 1.0043 (x) ^ 1.255 w/ correlation 100.0 %,execution time: 0.000997 s
42,reverse,500,quicksort_rand,3001,3342, y = 1.0042 (x) ^ 1.2384 w/ correlation 100.0 %, y = 1.0043 (x) ^ 1.255 w/ correlation 100.0 %,execution time: 0.007187 s
43,reverse,1000,quicksort_rand,5623,6317, y = 1.0042 (x) ^ 1.2384 w/ correlation 100.0 %, y = 1.0043 (x) ^ 1.255 w/ correlation 100.0 %,execution time: 0.009000 s
44,reverse,1500,quicksort_rand,8013,9038, y = 1.0042 (x) ^ 1.2384 w/ correlation 100.0 %, y = 1.0043 (x) ^ 1.255 w/ correlation 100.0 %,execution time: 0.008852 s
45,reverse,2000,quicksort_rand,11158,12527, y = 1.0042 (x) ^ 1.2384 w/ correlation 100.0 %, y = 1.0043 (x) ^ 1.255 w/ correlation 100.0 %,execution time: 0.011382 s
46,reverse,50,quicksort_mot,245,289, y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %, y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %,execution time: 0.001024 s
47,reverse,500,quicksort_mot,20856,21340, y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %, y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %,execution time: 0.022973 s
48,reverse,1000,quicksort_mot,83348,84330, y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %, y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %,execution time: 0.100611 s
49,reverse,1500,quicksort_mot,187287,188768, y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %, y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %,execution time: 0.141006 s
50,reverse,2000,quicksort_mot,333166,335147, y = 0.996 (x) ^ 1.6513 w/ correlation 100.0 %, y = 0.9961 (x) ^ 1.6527 w/ correlation 100.0 %,execution time: 0.263680 s
51,reverse,50,natural_merge,344,294, y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %, y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %,execution time: 0.000985 s
52,reverse,500,natural_merge,4992,4492, y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %, y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %,execution time: 0.003001 s
53,reverse,1000,natural_merge,10984,9984, y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %, y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %,execution time: 0.006994 s
54,reverse,1500,natural_merge,17492,15992, y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %, y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %,execution time: 0.010225 s
55,reverse,2000,natural_merge,23968,21968, y = 1.0022 (x) ^ 1.3408 w/ correlation 100.0 %, y = 1.0019 (x) ^ 1.3278 w/ correlation 100.0 %,execution time: 0.012002 s
56,reverse,50,2-way_merge,153,153, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.000781 s
57,reverse,500,2-way_merge,2272,2272, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.005007 s
58,reverse,1000,2-way_merge,5044,5044, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.009004 s
59,reverse,1500,2-way_merge,8288,8288, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.018074 s
60,reverse,2000,2-way_merge,11088,11088, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %, y = 1.0001 (x) ^ 1.234 w/ correlation 100.0 %,execution time: 0.017001 s
61,reverse,50,3-way_merge,133,133, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %,execution time: 0.001058 s
62,reverse,500,3-way_merge,2021,2021, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %,execution time: 0.001992 s
63,reverse,1000,3-way_merge,4436,4436, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %, y = 1.0008 (x) ^ 1.2135 w/ correlation 100.0 %,execution time: 0.009982 s
